,Start1,Start2,End1,End2,W/L
56,2015-08-20 18:35:00,2015-08-20 19:05:00,2015-08-20 22:12:00,2015-08-20 22:42:00,L
57,2015-08-21 18:35:00,2015-08-21 19:05:00,2015-08-21 22:44:00,2015-08-21 23:14:00,L
58,2015-08-22 12:35:00,2015-08-22 13:05:00,2015-08-22 15:57:00,2015-08-22 16:27:00,W
59,2015-08-23 12:42:00,2015-08-23 13:12:00,2015-08-23 16:49:00,2015-08-23 17:19:00,L
60,2015-08-24 18:35:00,2015-08-24 19:05:00,2015-08-24 21:52:00,2015-08-24 22:22:00,W-wo
61,2015-08-25 18:35:00,2015-08-25 19:05:00,2015-08-25 22:10:00,2015-08-25 22:40:00,L
62,2015-08-26 12:35:00,2015-08-26 13:05:00,2015-08-26 16:31:00,2015-08-26 17:01:00,L
63,2015-09-04 18:35:00,2015-09-04 19:05:00,2015-09-04 21:41:00,2015-09-04 22:11:00,W
64,2015-09-05 12:35:00,2015-09-05 13:05:00,2015-09-05 16:40:00,2015-09-05 17:10:00,L
65,2015-09-06 12:35:00,2015-09-06 13:05:00,2015-09-06 16:12:00,2015-09-06 16:42:00,W
66,2015-09-07 12:35:00,2015-09-07 13:05:00,2015-09-07 16:15:00,2015-09-07 16:45:00,W
67,2015-09-08 18:35:00,2015-09-08 19:05:00,2015-09-08 22:03:00,2015-09-08 22:33:00,L
68,2015-09-09 18:35:00,2015-09-09 19:05:00,2015-09-09 22:06:00,2015-09-09 22:36:00,L
69,2015-09-11 18:35:00,2015-09-11 19:05:00,2015-09-11 22:44:00,2015-09-11 23:14:00,L
70,2015-09-12 15:35:00,2015-09-12 16:05:00,2015-09-12 0:08:00,2015-09-12 0:38:00,L
71,2015-09-13 12:35:00,2015-09-13 13:05:00,2015-09-13 15:45:00,2015-09-13 16:15:00,W
72,2015-09-24 18:35:00,2015-09-24 19:05:00,2015-09-24 21:51:00,2015-09-24 22:21:00,W
73,2015-09-25 18:35:00,2015-09-25 19:05:00,2015-09-26 22:15:00,2015-09-26 22:45:00,L
74,2015-09-26 15:39:00,2015-09-26 16:09:00,2015-09-26 18:53:00,2015-09-26 19:23:00,W
75,2015-09-27 12:38:00,2015-09-27 13:08:00,2015-09-27 16:28:00,2015-09-27 16:58:00,W
76,2015-09-28 18:35:00,2015-09-28 19:05:00,2015-09-28 22:01:00,2015-09-28 22:31:00,L
77,2015-09-29 18:35:00,2015-09-29 19:05:00,2015-09-29 22:02:00,2015-09-29 22:32:00,L
78,2015-09-30 18:35:00,2015-09-30 19:05:00,2015-09-30 23:15:00,2015-09-30 23:45:00,L
79,2015-10-01 18:35:00,2015-10-01 19:05:00,2015-10-01 22:15:00,2015-10-01 22:45:00,W
